Time,Cycle,Step
11:08:02.920000,0.0,Standby
11:09:58.180000,1.0,Dose1
11:12:06.010000,1.0,Purge 1
11:12:06.460000,1.0,Dose 2
11:14:19.650000,1.0,Purge 2
11:23:13.100000,2.0,Dose1
11:28:13.170000,2.0,Purge 1
11:50:17.740000,2.0,Dose 2
12:00:17.790000,2.0,Purge 2
12:14:49.780000,3.0,Dose1
12:19:49.840000,3.0,Purge 1
12:39:08.300000,3.0,Dose 2
12:49:08.340000,3.0,Purge 2
13:03:28.070000,4.0,Dose1
13:08:28.120000,4.0,Purge 1
13:33:56.070000,4.0,Dose 2
13:43:56.080000,4.0,Purge 2
13:58:43.670000,5.0,Dose1
14:03:43.700000,5.0,Purge 1
14:26:58.600000,5.0,Dose 2
14:36:58.610000,5.0,Purge 2
14:51:48.620000,6.0,Dose1
14:56:48.630000,6.0,Purge 1
15:21:12.690000,6.0,Dose 2
15:31:12.710000,6.0,Purge 2
15:48:02.570000,7.0,Dose1
15:53:02.590000,7.0,Purge 1
16:18:36.390000,7.0,Dose 2
16:28:36.410000,7.0,Purge 2
16:45:45.010000,8.0,Dose1
16:50:45.070000,8.0,Purge 1
17:18:41.420000,8.0,Dose 2
17:28:41.460000,8.0,Purge 2
17:46:18.490000,9.0,Dose1
17:51:18.510000,9.0,Purge 1
18:20:47.500000,9.0,Dose 2
18:30:47.580000,9.0,Purge 2
18:49:19.800000,10.0,Dose1
18:54:19.820000,10.0,Purge 1
19:25:30.390000,10.0,Dose 2
19:35:30.400000,10.0,Purge 2
19:53:20.110000,11.0,Dose1
19:58:20.150000,11.0,Purge 1
20:27:13.970000,11.0,Dose 2
20:37:14.040000,11.0,Purge 2
20:55:36.130000,12.0,Dose1
21:00:36.150000,12.0,Purge 1
21:32:39.700000,12.0,Dose 2
21:42:39.710000,12.0,Purge 2
22:00:57.110000,13.0,Dose1
22:05:57.150000,13.0,Purge 1
22:38:29.700000,13.0,Dose 2
22:48:29.780000,13.0,Purge 2
23:06:25.540000,14.0,Dose1
23:11:25.550000,14.0,Purge 1
23:42:55.320000,14.0,Dose 2
23:52:55.380000,14.0,Purge 2
00:10:26.430000,15.0,Dose1
00:15:26.470000,15.0,Purge 1
00:45:23.350000,15.0,Dose 2
00:55:23.430000,15.0,Purge 2
01:13:16.880000,16.0,Dose1
01:18:16.920000,16.0,Purge 1
01:48:49.080000,16.0,Dose 2
01:58:49.090000,16.0,Purge 2
02:16:13.790000,17.0,Dose1
02:21:13.830000,17.0,Purge 1
02:49:16.270000,17.0,Dose 2
02:59:16.300000,17.0,Purge 2
03:16:28.500000,18.0,Dose1
03:21:28.530000,18.0,Purge 1
03:48:51.180000,18.0,Dose 2
03:58:51.250000,18.0,Purge 2
04:15:52.570000,19.0,Dose1
04:20:52.630000,19.0,Purge 1
04:48:43.780000,19.0,Dose 2
04:58:43.850000,19.0,Purge 2
05:15:34.590000,20.0,Dose1
05:20:34.990000,20.0,Purge 1
05:45:47.700000,20.0,Dose 2
05:55:47.710000,20.0,Purge 2
06:11:38.040000,21.0,Dose1
06:16:38.060000,21.0,Purge 1
06:40:35.520000,21.0,Dose 2
06:50:35.540000,21.0,Purge 2
07:06:28.200000,22.0,Dose1
07:11:28.220000,22.0,Purge 1
07:34:45.530000,22.0,Dose 2
07:44:45.540000,22.0,Purge 2
08:00:11.890000,23.0,Dose1
08:05:11.900000,23.0,Purge 1
08:27:20.300000,23.0,Dose 2
08:37:20.320000,23.0,Purge 2
08:52:15.690000,24.0,Dose1
08:57:15.730000,24.0,Purge 1
09:19:41.520000,24.0,Dose 2
09:29:41.580000,24.0,Purge 2
09:43:52.570000,25.0,Dose1
09:48:52.590000,25.0,Purge 1
10:10:11.010000,25.0,Dose 2
10:20:11.040000,25.0,Purge 2
10:34:05.820000,26.0,Dose1
10:39:05.860000,26.0,Purge 1
10:58:50.830000,26.0,Dose 2
11:08:50.920000,26.0,Purge 2
11:21:46.410000,27.0,Dose1
11:26:46.460000,27.0,Purge 1
11:46:31.520000,27.0,Dose 2
11:56:31.540000,27.0,Purge 2
12:09:38.500000,28.0,Dose1
12:14:38.540000,28.0,Purge 1
12:34:14.780000,28.0,Dose 2
12:44:14.810000,28.0,Purge 2
12:56:56.480000,29.0,Dose1
13:01:56.500000,29.0,Purge 1
13:20:12.280000,29.0,Dose 2
13:30:12.290000,29.0,Purge 2
13:41:51.690000,30.0,Dose1
13:46:51.730000,30.0,Purge 1
14:03:43.330000,30.0,Dose 2
14:13:43.340000,30.0,Purge 2
14:25:27.290000,31.0,Dose1
14:30:27.340000,31.0,Purge 1
14:47:59.300000,31.0,Dose 2
14:57:59.370000,31.0,Purge 2
15:09:20.830000,32.0,Dose1
15:14:20.870000,32.0,Purge 1
15:30:18.590000,32.0,Dose 2
15:40:18.590000,32.0,Purge 2
15:51:06.340000,33.0,Dose1
15:56:06.360000,33.0,Purge 1
16:11:13.710000,33.0,Dose 2
16:21:13.710000,33.0,Purge 2
16:31:32.570000,34.0,Dose1
16:36:32.610000,34.0,Purge 1
16:52:14.010000,34.0,Dose 2
17:02:14.020000,34.0,Purge 2
17:12:10.400000,35.0,Dose1
17:17:10.440000,35.0,Purge 1
17:31:33.790000,35.0,Dose 2
17:41:33.880000,35.0,Purge 2
17:51:24.920000,36.0,Dose1
17:56:24.930000,36.0,Purge 1
18:10:42.090000,36.0,Dose 2
18:20:42.100000,36.0,Purge 2
18:30:43.250000,37.0,Dose1
18:35:43.290000,37.0,Purge 1
18:50:12.900000,37.0,Dose 2
19:00:12.920000,37.0,Purge 2
19:09:25.020000,38.0,Dose1
19:14:25.060000,38.0,Purge 1
19:27:30.720000,38.0,Dose 2
19:37:30.740000,38.0,Purge 2
